home_id,away_id,form_home,form_away,standing_home,standing_away,h2h_home_wins,h2h_away_wins,result
3088,3079,0,0,19,13,1,1,1
3073,3091,0,0,6,20,0,1,-1
102,3429,0,0,14,9,0,2,-1
3100,3075,0,0,10,17,2,0,1
164,84,0,0,3,1,1,1,1
3081,3074,0,0,18,20,1,0,1
3077,80,0,0,20,8,1,1,1
3089,3086,0,0,15,12,0,1,0
3085,88,0,0,11,5,0,2,-1
3091,3075,0,0,20,17,0,1,-1
3091,164,0,0,20,3,0,2,-1
102,3086,0,0,14,12,1,0,1
3085,3074,0,0,11,20,1,0,1
3073,3071,0,0,6,4,1,1,1
3429,3089,0,0,9,15,0,0,0
3075,88,0,0,17,5,0,1,-1
3079,84,0,0,13,1,0,1,0
3081,3100,0,0,18,10,0,1,0
3077,3088,0,0,20,19,0,1,0
141,80,0,0,2,8,1,0,1
88,141,0,0,5,2,0,1,0
3074,102,0,0,20,14,0,2,-1
3089,3091,0,0,15,20,0,0,0
3100,3429,0,0,10,9,1,1,1
80,3079,0,0,8,13,2,0,1
84,3073,0,0,1,6,1,1,1
3086,3075,0,0,12,17,1,1,1
3071,3077,0,0,4,20,1,1,-1
3088,3081,0,0,19,18,1,0,1
164,3085,0,0,3,11,1,1,1
3429,164,0,0,9,3,0,2,-1
3071,3075,0,0,4,17,2,0,1
141,3074,0,0,2,20,2,0,1
88,3086,0,0,5,12,0,1,-1
3077,3100,0,0,20,10,0,1,0
3088,3091,0,0,19,20,2,0,1
3079,3085,0,0,13,11,0,1,0
84,3089,0,0,1,15,2,0,1
102,80,0,0,14,8,0,2,-1
3081,3073,0,0,18,6,1,1,-1
3075,3429,0,0,17,9,0,2,-1
3073,3079,0,0,6,13,0,0,0
3085,102,0,0,11,14,1,1,-1
80,3071,0,0,8,4,2,0,1
3100,141,0,0,10,2,1,1,1
3074,3077,0,0,20,20,1,1,1
3086,3081,0,0,12,18,1,1,1
3091,84,0,0,20,1,0,1,0
3089,3088,0,0,15,19,1,1,1
164,88,0,0,3,5,0,2,-1
3429,3073,0,0,9,6,0,1,-1
3077,164,0,0,20,3,2,0,1
102,3091,0,0,14,20,2,0,1
141,3075,0,0,2,17,2,0,1
3071,3100,0,0,4,10,1,0,1
88,80,0,0,5,8,0,0,0
3088,3085,0,0,19,11,2,0,1
84,3086,0,0,1,12,2,0,1
3081,3089,0,0,18,15,1,1,1
3079,3074,0,0,13,20,1,0,0
3075,3081,0,0,17,18,0,1,-1
3074,3071,0,0,20,4,0,1,-1
3089,3079,0,0,15,13,0,2,-1
3100,88,0,0,10,5,1,1,1
80,84,0,0,8,1,0,0,0
3091,3429,0,0,20,9,1,0,1
3086,141,0,0,12,2,0,2,-1
3073,102,0,0,6,14,0,2,-1
164,3088,0,0,3,19,1,1,-1
3085,3077,0,0,11,20,1,1,1
141,3077,0,0,2,20,2,0,1
3086,3091,0,0,12,20,2,0,1
3075,3074,0,0,17,20,2,0,1
3089,3073,0,0,15,6,0,2,-1
3100,102,0,0,10,14,1,1,1
3071,3088,0,0,4,19,0,1,0
3081,3429,0,0,18,9,0,1,0
84,3085,0,0,1,11,2,0,1
88,3079,0,0,5,13,2,0,1
80,164,0,0,8,3,1,0,0
3077,3075,0,0,20,17,1,0,1
3091,141,0,0,20,2,0,2,-1
3074,84,0,0,20,1,0,2,-1
102,88,0,0,14,5,1,1,1
3429,3071,0,0,9,4,0,2,-1
3085,3089,0,0,11,15,1,1,1
3079,3086,0,0,13,12,1,0,1
3088,80,0,0,19,8,1,1,1
164,3081,0,0,3,18,0,1,-1
3073,3100,0,0,6,10,1,0,1
3088,141,0,0,19,2,2,0,1
3077,3089,0,0,20,15,0,0,0
3074,3086,0,0,20,12,1,1,1
102,3071,0,0,14,4,0,1,-1
3429,84,0,0,9,1,1,1,-1
3079,3075,0,0,13,17,0,0,0
3085,3081,0,0,11,18,2,0,1
3091,80,0,0,20,8,0,2,-1
3073,88,0,0,6,5,1,1,1
164,3100,0,0,3,10,1,1,1
3089,164,0,0,15,3,0,2,-1
3100,3085,0,0,10,11,2,0,1
80,3429,0,0,8,9,1,0,0
88,3074,0,0,5,20,1,0,1
3075,3073,0,0,17,6,0,2,-1
3086,3088,0,0,12,19,0,1,-1
141,3079,0,0,2,13,2,0,1
3081,3077,0,0,18,20,2,0,1
84,102,0,0,1,14,0,0,0
3429,3079,0,0,9,13,0,1,0
3088,3074,0,0,19,20,1,0,0
3089,3071,0,0,15,4,0,1,-1
